id,yil,puan_turu,siralama,yks_puan,obp,tyt_turkce,tyt_matematik,tyt_sosyal,tyt_fen,ayt_matematik,ayt_fizik,ayt_kimya,ayt_biyoloji,ayt_tded,ayt_tarih1,ayt_cografya1,ayt_tarih2,ayt_cografya2,ayt_felsefe,ayt_din
42,2022,EA,35000,286.14,94.02,25.83,25.04,12.85,8.37,25.7,0,0,0,15.19,6.77,3.78,0,0,0,0
43,2022,EA,45000,274.7,96.02,24.36,22.8,11.21,8.27,22.6,0,0,0,14.16,5.53,3.65,0,0,0,0
44,2022,EA,50000,264.88,78.97,23.76,21.59,11.82,7.33,23.95,0,0,0,13.66,6.09,3.1,0,0,0,0
45,2022,EA,65000,253.96,67.03,22.76,20.49,11.58,7.91,22.46,0,0,0,14.32,5.12,3.27,0,0,0,0
46,2022,EA,80000,247.29,72.3,21.45,18.42,11.04,6.69,20.85,0,0,0,12.77,4.61,2.95,0,0,0,0
47,2022,EA,100000,240.3,72.67,19.12,16.86,9.68,5.39,19.61,0,0,0,11.47,5.08,2.99,0,0,0,0
48,2022,EA,120000,231.48,74.77,18.42,16.98,8.44,6.49,15.63,0,0,0,10.67,4.67,2.75,0,0,0,0
49,2022,EA,150000,218.88,71.1,16.36,13.47,8.34,4.22,14.91,0,0,0,9.09,4.12,2.09,0,0,0,0
50,2022,EA,180000,211.83,68.16,14.43,12.6,7.74,4.94,14.36,0,0,0,8.23,3.12,2.3,0,0,0,0
51,2022,EA,220000,208.29,80.39,12.68,10.73,6.48,3.65,12.25,0,0,0,6.95,2.59,1.95,0,0,0,0
52,2022,EA,250000,193.77,68.56,10.11,9.17,5.89,3.02,11.03,0,0,0,6.23,2.24,1.65,0,0,0,0
53,2022,EA,300000,188.86,80.88,9.6,8.05,3.4,2.28,7.85,0,0,0,4.86,1.59,1.41,0,0,0,0
54,2022,EA,350000,177.5,67.88,6.33,6.59,4.04,2.89,7.18,0,0,0,4.8,1.76,0.99,0,0,0,0
55,2022,EA,400000,168.58,80.04,5.0,3.87,3.16,1.95,2.98,0,0,0,2.93,0.9,0.56,0,0,0,0
56,2022,EA,500000,160.34,85.85,5.0,2.58,2.0,1.38,1.29,0,0,0,0.2,0.18,0.0,0,0,0,0
57,2022,SÖZ,100,320.31,87.28,36.91,19.91,17.86,7.68,0,0,0,0,21.4,9.06,5.2,9.9,9.75,10.19,5.02
58,2022,SÖZ,250,320.8,88.71,36.29,20.95,18.4,7.0,0,0,0,0,21.15,8.87,5.62,9.75,9.63,10.14,5.08
59,2022,SÖZ,500,326.43,95.42,35.66,21.44,18.89,8.52,0,0,0,0,22.03,8.83,5.25,9.27,9.53,10.12,5.49
60,2022,SÖZ,1000,310.86,82.87,34.61,20.28,16.58,8.0,0,0,0,0,20.28,8.75,5.02,9.01,9.57,10.05,4.85
61,2022,SÖZ,2000,310.57,87.2,34.36,18.43,17.49,7.5,0,0,0,0,20.55,8.52,4.95,8.95,8.56,9.88,4.95
62,2022,SÖZ,3500,305.37,83.7,33.13,18.66,15.89,7.94,0,0,0,0,20.3,7.68,4.76,9.15,9.07,9.59,4.69
63,2022,SÖZ,5000,304.71,90.94,32.9,17.82,16.06,6.21,0,0,0,0,19.12,7.84,4.85,8.78,8.26,9.71,4.66
64,2022,SÖZ,7500,303.37,95.05,32.28,17.54,16.59,6.35,0,0,0,0,18.7,7.59,4.4,8.26,8.69,9.26,4.22
65,2022,SÖZ,10000,291.78,84.99,31.03,16.24,15.49,5.45,0,0,0,0,18.53,7.78,4.29,7.75,8.02,8.63,4.35
66,2022,SÖZ,15000,288.22,93.95,28.38,15.78,13.75,6.37,0,0,0,0,17.09,7.04,3.96,7.32,7.47,8.41,4.15
67,2022,SÖZ,20000,277.26,84.62,27.4,15.52,14.29,4.92,0,0,0,0,15.43,6.31,4.23,7.5,7.61,7.78,4.22
68,2022,SÖZ,30000,263.8,71.82,25.54,15.89,12.75,5.3,0,0,0,0,15.95,5.92,3.65,7.26,6.51,7.13,4.13
69,2022,SÖZ,40000,253.42,63.24,24.42,15.11,12.54,6.04,0,0,0,0,14.62,5.81,4.0,6.49,5.97,7.42,3.7
70,2022,SÖZ,55000,250.23,78.15,21.73,13.54,11.39,4.01,0,0,0,0,12.54,5.54,3.09,6.31,6.35,5.98,3.6
71,2022,SÖZ,70000,240.85,75.67,21.71,12.8,9.88,4.07,0,0,0,0,11.22,5.01,3.4,5.76,5.41,5.6,3.22
72,2022,SÖZ,90000,238.55,83.13,19.86,10.68,9.55,4.12,0,0,0,0,11.92,4.69,2.66,4.67,5.1,5.37,2.58
73,2022,SÖZ,110000,222.71,76.1,17.25,9.92,7.68,3.13,0,0,0,0,9.12,4.2,2.2,4.89,4.53,4.8,2.57
74,2022,SÖZ,140000,203.82,61.99,14.84,8.46,6.41,3.9,0,0,0,0,7.99,3.17,1.88,3.91,3.63,4.74,2.33
75,2022,SÖZ,180000,202.53,74.39,12.5,5.89,7.0,3.37,0,0,0,0,7.62,2.75,1.8,3.02,3.59,3.7,1.68
76,2022,SÖZ,220000,188.91,70.77,10.69,5.47,4.91,2.27,0,0,0,0,5.72,2.66,1.55,2.69,2.58,2.37,1.78
77,2022,SÖZ,250000,188.81,86.69,7.49,4.71,3.44,1.23,0,0,0,0,4.96,1.78,1.19,2.42,1.71,2.51,1.22
78,2022,SÖZ,300000,163.0,65.51,5.27,3.05,2.41,0.4,0,0,0,0,2.86,1.35,0.58,1.17,2.06,1.62,0.47
79,2022,SÖZ,400000,162.27,85.18,5.0,2.0,2.0,1.22,0,0,0,0,0.29,0.13,0.61,0.22,0.84,0.85,0.32
80,2022,TYT,250,295.38,90.96,36.71,33.29,18.26,17.33,0,0,0,0,0,0,0,0,0,0,0
81,2022,TYT,500,299.18,95.75,36.87,34.33,18.01,17.1,0,0,0,0,0,0,0,0,0,0,0
82,2022,TYT,1000,284.41,77.1,36.58,34.22,17.82,15.04,0,0,0,0,0,0,0,0,0,0,0
83,2022,TYT,2500,276.6,76.0,34.96,32.17,15.43,15.74,0,0,0,0,0,0,0,0,0,0,0
84,2022,TYT,5000,281.3,87.59,34.5,30.59,16.34,15.15,0,0,0,0,0,0,0,0,0,0,0
85,2022,TYT,10000,272.47,83.1,32.37,30.76,15.31,13.57,0,0,0,0,0,0,0,0,0,0,0
86,2022,TYT,15000,268.31,83.87,31.47,29.64,14.36,13.08,0,0,0,0,0,0,0,0,0,0,0
87,2022,TYT,25000,265.37,87.86,29.16,28.93,13.56,12.89,0,0,0,0,0,0,0,0,0,0,0
88,2022,TYT,30000,258.94,78.89,29.42,27.37,13.49,13.45,0,0,0,0,0,0,0,0,0,0,0
89,2022,TYT,45000,262.92,96.63,27.16,26.04,13.75,11.78,0,0,0,0,0,0,0,0,0,0,0
90,2022,TYT,60000,259.97,90.95,27.54,26.24,13.35,11.95,0,0,0,0,0,0,0,0,0,0,0
91,2022,TYT,80000,241.34,75.03,25.9,23.65,12.08,10.65,0,0,0,0,0,0,0,0,0,0,0
92,2022,TYT,100000,237.85,72.0,24.18,24.53,11.56,10.76,0,0,0,0,0,0,0,0,0,0,0
93,2022,TYT,130000,232.99,74.51,23.02,21.35,11.38,10.47,0,0,0,0,0,0,0,0,0,0,0
94,2022,TYT,180000,223.13,75.26,20.5,19.55,9.45,9.01,0,0,0,0,0,0,0,0,0,0,0
95,2022,TYT,250000,222.55,84.17,19.13,17.98,8.5,8.46,0,0,0,0,0,0,0,0,0,0,0
96,2022,TYT,350000,200.42,62.28,15.83,16.0,8.07,7.4,0,0,0,0,0,0,0,0,0,0,0
97,2022,TYT,500000,196.47,74.86,12.91,13.61,6.36,5.81,0,0,0,0,0,0,0,0,0,0,0
98,2022,TYT,700000,174.16,67.23,8.78,7.93,4.75,3.9,0,0,0,0,0,0,0,0,0,0,0
99,2022,TYT,900000,167.66,74.01,6.21,6.18,2.77,2.3,0,0,0,0,0,0,0,0,0,0,0
100,2022,TYT,1200000,152.12,68.32,2.1,3.19,1.0,2.05,0,0,0,0,0,0,0,0,0,0,0
101,2023,SAY,100,351.07,92.72,36.51,37.52,17.51,18.98,38.06,13.63,11.74,12.52,0,0,0,0,0,0,0
102,2023,SAY,250,346.36,96.74,36.44,36.77,17.04,18.41,35.44,12.46,12.28,12.3,0,0,0,0,0,0,0
103,2023,SAY,500,342.34,92.54,36.1,37.86,17.77,17.24,35.09,12.54,11.94,12.01,0,0,0,0,0,0,0
104,2023,SAY,1000,342.19,93.85,35.77,35.41,17.16,18.48,36.12,12.22,12.21,11.13,0,0,0,0,0,0,0
105,2023,SAY,2000,333.76,93.71,33.62,35.35,15.99,16.39,34.33,12.24,11.13,11.01,0,0,0,0,0,0,0
106,2023,SAY,3500,329.49,95.24,32.61,33.35,15.17,16.72,33.0,11.42,10.74,11.65,0,0,0,0,0,0,0
107,2023,SAY,5000,328.74,92.03,32.75,34.1,16.6,15.7,33.18,12.19,10.62,11.14,0,0,0,0,0,0,0
108,2023,SAY,7500,323.62,94.43,31.38,31.18,15.03,15.45,31.97,11.74,10.83,10.74,0,0,0,0,0,0,0
109,2023,SAY,10000,316.08,97.36,30.47,32.21,15.49,14.22,29.93,10.25,10.16,9.93,0,0,0,0,0,0,0
110,2023,SAY,15000,303.81,95.31,29.14,28.72,13.13,13.62,28.08,9.81,8.9,9.67,0,0,0,0,0,0,0
111,2023,SAY,20000,299.31,89.73,29.07,28.83,13.33,13.5,29.28,9.2,8.43,8.87,0,0,0,0,0,0,0
112,2023,SAY,28000,293.01,89.43,26.76,25.65,11.95,13.72,27.63,9.38,8.58,8.76,0,0,0,0,0,0,0
113,2023,SAY,35000,290.24,98.89,25.02,24.61,12.1,13.21,24.13,9.68,8.7,8.1,0,0,0,0,0,0,0
114,2023,SAY,45000,282.96,99.47,23.05,24.73,11.31,12.76,23.69,7.67,7.71,8.14,0,0,0,0,0,0,0
115,2023,SAY,50000,271.3,88.13,23.02,23.29,10.29,11.88,23.27,8.01,7.29,7.0,0,0,0,0,0,0,0
116,2023,SAY,65000,259.84,76.08,21.62,22.57,9.81,11.17,22.28,7.82,6.74,7.36,0,0,0,0,0,0,0
117,2023,SAY,75000,257.74,81.33,20.63,20.86,10.02,9.69,21.43,7.73,6.31,7.0,0,0,0,0,0,0,0
118,2023,SAY,90000,241.02,70.61,18.28,18.92,8.16,9.55,19.0,6.3,6.52,6.73,0,0,0,0,0,0,0
119,2023,SAY,100000,239.02,71.66,18.9,18.95,8.55,8.61,18.08,7.05,5.55,6.45,0,0,0,0,0,0,0
120,2023,SAY,120000,234.03,76.46,17.24,16.92,7.56,7.73,17.66,5.97,5.58,5.17,0,0,0,0,0,0,0
121,2023,SAY,130000,230.95,80.37,15.57,15.48,6.73,7.47,16.62,5.38,5.37,5.21,0,0,0,0,0,0,0
122,2023,SAY,150000,220.69,81.29,13.95,15.2,6.61,6.72,13.48,4.96,4.4,4.57,0,0,0,0,0,0,0
123,2023,SAY,170000,217.1,88.35,13.65,12.47,7.16,6.96,11.77,4.26,3.81,3.87,0,0,0,0,0,0,0
124,2023,SAY,200000,205.53,79.57,11.53,9.76,4.78,4.64,10.14,4.23,4.3,4.35,0,0,0,0,0,0,0
125,2023,SAY,220000,203.34,91.95,9.2,10.46,4.83,5.17,9.36,2.88,3.11,2.63,0,0,0,0,0,0,0
126,2023,SAY,260000,191.01,80.17,8.74,8.91,2.95,4.09,8.63,2.6,1.99,3.32,0,0,0,0,0,0,0
127,2023,SAY,300000,179.48,76.2,5.08,6.92,2.47,3.82,6.2,2.65,1.86,2.65,0,0,0,0,0,0,0
128,2023,SAY,350000,171.6,87.18,5.0,4.33,2.82,1.23,3.55,0.63,1.18,1.37,0,0,0,0,0,0,0
129,2023,SAY,400000,164.62,84.99,5.0,2.36,2.0,0.52,2.77,1.15,0.51,0.26,0,0,0,0,0,0,0
130,2023,EA,100,329.4,86.08,37.51,33.01,17.65,12.2,35.12,0,0,0,20.96,8.56,5.33,0,0,0,0
131,2023,EA,250,328.03,86.3,36.76,32.34,18.76,11.26,34.61,0,0,0,21.16,8.56,5.16,0,0,0,0
132,2023,EA,500,325.96,87.1,36.55,31.99,17.61,11.75,33.52,0,0,0,21.01,9.0,4.92,0,0,0,0
133,2023,EA,1000,326.5,91.63,35.88,33.08,16.97,11.33,32.9,0,0,0,20.29,8.81,5.46,0,0,0,0
134,2023,EA,2000,329.75,98.1,35.68,31.98,17.0,10.44,33.59,0,0,0,20.44,8.82,4.86,0,0,0,0
135,2023,EA,3500,319.74,94.99,34.33,30.74,17.13,11.4,30.21,0,0,0,19.72,8.49,5.2,0,0,0,0
136,2023,EA,5000,313.06,94.83,32.57,29.01,16.87,10.98,29.29,0,0,0,19.01,7.72,5.11,0,0,0,0
137,2023,EA,7500,316.76,98.78,32.83,30.51,15.04,9.89,30.78,0,0,0,19.1,8.12,4.2,0,0,0,0
138,2023,EA,10000,309.98,93.62,30.75,28.88,14.7,9.28,30.34,0,0,0,19.0,7.67,4.51,0,0,0,0
139,2023,EA,15000,303.49,97.23,29.1,28.32,14.58,9.34,28.24,0,0,0,17.92,6.74,4.41,0,0,0,0
140,2023,EA,20000,299.92,97.42,28.33,27.61,14.01,9.07,27.57,0,0,0,16.98,7.18,4.24,0,0,0,0
141,2023,EA,28000,284.86,86.68,28.05,24.78,14.07,7.67,25.63,0,0,0,16.0,6.93,3.9,0,0,0,0
142,2023,EA,35000,280.39,91.44,27.22,25.08,13.6,7.75,23.57,0,0,0,14.88,6.01,4.16,0,0,0,0
143,2023,EA,45000,277.26,96.4,25.42,21.63,12.52,7.86,22.65,0,0,0,14.42,6.29,3.69,0,0,0,0
144,2023,EA,50000,258.91,72.53,24.84,21.62,11.36,7.48,22.3,0,0,0,14.15,5.77,3.16,0,0,0,0
145,2023,EA,65000,260.47,82.0,22.53,19.87,11.04,7.3,21.83,0,0,0,14.24,5.21,3.11,0,0,0,0
146,2023,EA,80000,239.21,66.92,21.83,20.35,10.97,6.32,18.47,0,0,0,11.88,4.87,2.72,0,0,0,0
147,2023,EA,100000,246.35,86.8,20.13,17.07,9.08,5.95,19.18,0,0,0,10.59,4.48,3.18,0,0,0,0
148,2023,EA,120000,240.08,86.89,17.77,15.31,7.83,6.34,17.6,0,0,0,10.3,4.66,2.81,0,0,0,0
149,2023,EA,150000,218.22,68.92,16.21,15.45,7.62,4.29,15.49,0,0,0,8.7,3.42,2.61,0,0,0,0
150,2023,EA,180000,215.89,77.84,14.07,13.34,6.56,3.95,13.64,0,0,0,7.97,3.62,2.39,0,0,0,0
151,2023,EA,220000,211.34,84.51,11.85,11.12,5.83,3.87,11.99,0,0,0,7.67,3.21,1.46,0,0,0,0
152,2023,EA,250000,189.34,63.95,10.65,8.9,6.14,3.62,9.72,0,0,0,6.46,2.1,1.6,0,0,0,0
153,2023,EA,300000,189.87,88.43,9.42,9.31,3.24,2.32,6.87,0,0,0,4.1,1.62,0.85,0,0,0,0
154,2023,EA,350000,172.86,67.58,6.54,4.7,3.7,2.26,6.12,0,0,0,4.83,1.13,0.91,0,0,0,0
155,2023,EA,400000,175.44,85.9,5.0,5.84,2.27,1.89,5.03,0,0,0,2.01,1.07,0.86,0,0,0,0
156,2023,EA,500000,145.07,63.39,5.0,1.17,2.0,0.0,0.29,0,0,0,0.18,0.47,0.63,0,0,0,0
157,2023,SÖZ,100,318.6,84.85,36.99,21.75,17.45,6.78,0,0,0,0,21.18,8.63,5.49,9.29,9.64,10.28,5.67
158,2023,SÖZ,250,320.08,82.33,37.03,22.3,17.35,8.65,0,0,0,0,21.37,8.35,5.62,9.85,9.85,10.89,5.22
159,2023,SÖZ,500,323.69,95.44,35.97,20.73,18.35,7.71,0,0,0,0,21.45,8.38,5.65,8.99,9.8,10.06,5.18
160,2023,SÖZ,1000,323.28,97.76,36.52,20.86,16.74,7.22,0,0,0,0,20.51,8.87,4.97,9.32,9.61,10.25,5.41
161,2023,SÖZ,2000,312.83,89.97,35.39,20.23,16.99,6.86,0,0,0,0,19.71,8.66,4.76,8.87,9.44,10.18,4.61
162,2023,SÖZ,3500,310.01,92.94,34.07,19.19,17.5,7.59,0,0,0,0,19.74,7.7,5.0,8.29,8.47,9.52,5.17
163,2023,SÖZ,5000,304.8,91.79,33.05,17.66,15.66,7.42,0,0,0,0,19.6,7.72,5.09,8.51,8.16,8.86,4.8
164,2023,SÖZ,7500,293.88,85.58,32.57,16.6,16.06,7.0,0,0,0,0,17.74,7.77,4.4,7.86,8.46,8.67,4.25
165,2023,SÖZ,10000,297.23,91.41,30.65,18.99,15.73,6.75,0,0,0,0,18.14,7.54,4.18,7.54,8.48,8.4,4.78
166,2023,SÖZ,15000,286.86,91.46,29.38,15.26,13.69,5.32,0,0,0,0,17.93,6.55,4.02,7.33,7.73,8.21,3.92
167,2023,SÖZ,20000,281.09,83.53,28.87,15.86,14.75,6.81,0,0,0,0,16.36,7.15,4.4,7.71,7.19,7.56,4.02
168,2023,SÖZ,30000,265.41,81.33,26.87,14.65,12.13,4.62,0,0,0,0,15.34,6.1,3.52,6.34,6.46,7.19,3.66
169,2023,SÖZ,40000,258.38,80.89,24.73,14.34,11.79,4.63,0,0,0,0,13.61,5.67,3.55,6.2,6.2,6.59,3.81
170,2023,SÖZ,55000,255.49,86.86,21.81,13.59,12.1,3.8,0,0,0,0,12.58,5.78,3.33,5.43,6.08,6.83,3.2
171,2023,SÖZ,70000,240.51,75.27,20.13,12.72,11.02,3.79,0,0,0,0,12.46,4.56,2.96,5.29,5.52,6.02,2.91
172,2023,SÖZ,90000,222.97,64.43,19.46,10.28,8.77,3.7,0,0,0,0,10.14,4.94,3.15,4.56,4.76,5.06,2.59
173,2023,SÖZ,110000,229.61,84.11,16.93,10.48,7.65,3.64,0,0,0,0,9.32,4.26,2.8,4.77,4.95,4.7,2.51
174,2023,SÖZ,140000,205.87,66.05,14.19,7.67,7.38,3.58,0,0,0,0,7.85,3.29,2.45,4.11,4.28,3.89,1.87
175,2023,SÖZ,180000,197.67,68.54,12.92,7.09,6.4,2.31,0,0,0,0,7.17,3.34,2.05,3.16,3.09,3.3,1.37
176,2023,SÖZ,220000,192.77,77.2,9.34,6.74,4.97,1.73,0,0,0,0,6.2,2.14,1.68,2.53,2.93,2.43,1.59
177,2023,SÖZ,250000,179.38,66.37,9.22,5.2,4.14,1.26,0,0,0,0,5.19,1.92,0.88,2.52,2.61,2.37,0.98
178,2023,SÖZ,300000,165.62,65.69,6.48,3.93,2.66,0.82,0,0,0,0,3.31,1.89,0.5,1.48,1.4,1.49,0.64
179,2023,SÖZ,400000,154.03,71.19,5.0,1.96,2.0,0.0,0,0,0,0,1.21,0.44,0.0,0.62,0.92,0.45,0.08
180,2023,TYT,250,286.95,79.11,36.8,35.6,16.43,15.86,0,0,0,0,0,0,0,0,0,0,0
181,2023,TYT,500,296.42,94.01,35.81,34.4,17.78,17.03,0,0,0,0,0,0,0,0,0,0,0
182,2023,TYT,1000,286.84,86.59,35.42,34.3,15.89,15.62,0,0,0,0,0,0,0,0,0,0,0
183,2023,TYT,2500,278.11,76.34,35.54,32.4,16.23,15.11,0,0,0,0,0,0,0,0,0,0,0
184,2023,TYT,5000,281.91,88.17,33.77,30.9,16.26,15.83,0,0,0,0,0,0,0,0,0,0,0
185,2023,TYT,10000,272.9,85.15,31.68,29.68,15.48,14.53,0,0,0,0,0,0,0,0,0,0,0
186,2023,TYT,15000,272.81,86.45,31.54,28.99,15.7,14.48,0,0,0,0,0,0,0,0,0,0,0
187,2023,TYT,25000,264.08,86.49,29.21,26.98,14.34,13.61,0,0,0,0,0,0,0,0,0,0,0
188,2023,TYT,30000,259.85,78.84,29.74,26.45,14.44,13.78,0,0,0,0,0,0,0,0,0,0,0
189,2023,TYT,45000,263.28,93.48,27.0,26.48,14.14,12.77,0,0,0,0,0,0,0,0,0,0,0
190,2023,TYT,60000,249.58,79.28,27.74,24.34,12.94,11.52,0,0,0,0,0,0,0,0,0,0,0
191,2023,TYT,80000,253.54,93.65,25.52,23.11,12.49,11.89,0,0,0,0,0,0,0,0,0,0,0
192,2023,TYT,100000,231.46,68.17,23.97,22.43,10.69,10.86,0,0,0,0,0,0,0,0,0,0,0
193,2023,TYT,130000,224.15,61.23,22.85,22.7,10.44,9.62,0,0,0,0,0,0,0,0,0,0,0
194,2023,TYT,180000,214.73,57.54,20.89,19.84,9.84,9.6,0,0,0,0,0,0,0,0,0,0,0
195,2023,TYT,250000,219.04,77.79,17.95,17.39,9.8,9.11,0,0,0,0,0,0,0,0,0,0,0
196,2023,TYT,350000,203.12,66.82,15.72,15.12,8.23,8.18,0,0,0,0,0,0,0,0,0,0,0
197,2023,TYT,500000,190.89,72.75,12.24,11.84,5.49,5.87,0,0,0,0,0,0,0,0,0,0,0
198,2023,TYT,700000,173.02,67.96,8.63,8.18,3.86,3.53,0,0,0,0,0,0,0,0,0,0,0
199,2023,TYT,900000,162.57,59.99,6.5,6.1,3.36,3.95,0,0,0,0,0,0,0,0,0,0,0
200,2023,TYT,1200000,147.79,60.16,3.76,2.09,1.0,1.92,0,0,0,0,0,0,0,0,0,0,0
201,2024,SAY,100,336.07,95.13,34.89,35.94,16.68,16.9,33.34,12.93,10.69,11.68,0,0,0,0,0,0,0
202,2024,SAY,250,328.21,89.12,33.57,33.76,16.45,16.25,33.92,11.73,11.24,10.63,0,0,0,0,0,0,0
203,2024,SAY,500,330.05,88.04,34.14,33.34,15.87,16.51,34.64,12.17,11.59,10.57,0,0,0,0,0,0,0
204,2024,SAY,1000,325.4,92.15,33.77,32.22,15.63,17.21,32.41,10.84,11.38,10.62,0,0,0,0,0,0,0
205,2024,SAY,2000,324.15,98.41,32.39,31.89,15.91,16.69,30.71,11.47,10.77,10.15,0,0,0,0,0,0,0
206,2024,SAY,3500,317.32,95.85,31.23,32.97,14.19,15.98,29.84,11.37,10.0,9.73,0,0,0,0,0,0,0
207,2024,SAY,5000,322.2,98.69,30.5,31.79,15.4,15.02,31.61,10.83,10.39,10.31,0,0,0,0,0,0,0
208,2024,SAY,7500,314.65,98.87,29.23,31.03,13.15,13.63,29.62,11.04,10.07,9.88,0,0,0,0,0,0,0
